Algorithm: Kruskal's MST
MST edges:
11196 48604 1
10898 46345 1
3885 17838 1
24492 24493 1
8127 8128 1
299 300 1
12416 12417 1
14933 14934 1
16660 16661 1
637 34103 1
44859 44860 1
35115 35116 1
4680 24850 1
38553 38554 1
38551 49434 1
3332 3333 1
15533 28234 1
39459 39460 1
37263 37264 1
43551 43552 1
29157 32570 1
6477 6478 1
1511 43708 1
18803 18804 1
4424 43678 1
24517 24518 1
5791 46528 1
21571 21572 1
32984 45719 1
44840 44841 1
4919 4920 1
39481 39482 1
23709 23710 1
40269 40270 1
36583 36584 1
3957 3958 1
23049 23050 1
2899 45218 1
1056 42216 1
30375 30376 1
13030 13031 1
1234 1235 1
4676 4677 1
17084 46456 1
23329 23330 1
20234 29081 1
34116 34117 1
10815 10816 1
10647 31274 1
7906 44823 1
11400 11801 1
2892 19835 1
30650 30651 1
27941 27942 1
19913 19914 1
33109 48121 1
27149 27150 1
6205 6206 1
47705 47706 1
13322 44806 1
49348 49349 1
18071 18072 1
18523 48775 1
17714 17715 1
25655 37235 1
21626 21627 1
20659 23958 1
43046 43047 1
6510 6511 1
18064 32805 1
19371 19372 1
17328 17329 1
1856 30996 1
18064 19330 1
40915 44950 1
17273 17274 1
42136 42137 1
49327 49328 1
36860 36861 1
13872 13873 1
49391 49392 1
7056 7057 1
23344 30567 1
19186 22155 1
39968 39969 1
5481 5482 1
7639 7640 1
40111 40112 1
43407 43408 1
27636 27637 1
18794 18795 1
1859 5596 1
18101 35344 1
44920 44921 1
38859 38860 1
17596 17597 1
16244 16245 1
47225 47226 1
6695 20033 1
19589 29404 1
11417 11418 1
40665 40666 1
2573 18842 1
11071 11072 1
5224 5225 1
888 889 1
13805 45006 1
23283 47938 1
21051 21052 1
4652 42235 1
2516 42789 1
9479 9480 1
12358 12359 1
10196 20922 1
26375 26376 1
41003 43819 1
2129 2130 1
3795 3796 1
2330 2331 1
24453 24454 1
1080 1081 1
20212 20213 1
20213 20214 1
31315 31316 1
3546 47718 1
4945 4946 1
26794 26795 1
16403 32453 1
40267 40268 1
22584 45983 1
15342 15343 1
39822 39823 1
3278 3279 1
13150 13151 1
1730 25876 1
9580 9581 1
25313 25314 1
41006 41007 1
13347 40607 1
32035 37746 1
4132 4133 1
13331 13332 1
4957 24474 1
1313 11513 1
34776 48754 1
15883 15884 1
2515 25713 1
22756 22757 1
7606 28685 1
27155 31494 1
1545 1546 1
2125 2126 1
30998 30999 1
46827 46828 1
32551 32552 1
2966 5278 1
